F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,F13,F14,F15,Target1,Target2,Target3,Target4,Target5
64.8,1.11,83.3,23.55,129.4,35.1,0.186,222.5,302,1.05,100.958,2.27,3930,32.4,1408,0.821,0.907,66.7,9.79,46.85
60.7,1.61,85.6,43.11,153.05,47.6,0.142,245.1,314,1.31,103.156,1.94,9385,21.3,887,0.937,1.205,73.1,4.17,86.86
43.9,2.44,76,41.47,157.54,32,0.142,285.9,142,1.82,105.709,1.71,9836,32.5,1049,0.866,0.982,69.9,5.8,35.87
35.6,1.18,48.5,22.65,163.69,33.2,0.307,274.5,199,1.5,97.314,2.53,7398,31.5,1027,0.795,0.685,66.9,8.74,29.44
82.7,2.17,94,47.12,182.35,42.3,0.292,256.5,187,0.66,101.256,2.9,2271,27,1374,0.892,1.954,72.3,2.56,86.57
82.7,1.73,76.3,48.36,119.19,44.7,0.344,256.9,257,0.71,99.932,1.71,982,28.5,98,0.89,1.903,67.6,8.51,105.8
67.9,2.18,69.7,22.31,157.44,48.3,0.381,150.8,174,1.12,99.47,1.78,4174,21.6,1370,0.928,1.851,77.5,6.59,44.8
50,1.08,37.3,22.96,136.09,29.5,0.305,350.6,283,0.79,99.385,2.15,8775,25.5,1151,0.684,0.746,57.1,2.28,50.11
50.3,2.77,63.7,30.78,68.05,45.8,0.147,262.1,110,0.54,97.488,2.79,6991,20.6,381,0.85,0.804,69.1,9.19,20.77
72.2,2.97,62.6,48.36,42.83,44,0.18,142.6,356,1.7,103.32,1.93,8936,24.5,98,0.713,1.971,57.6,2.24,69.9
86.2,2.9,91.6,44.15,83.44,27.4,0.357,331.5,315,0.54,95.812,1.9,5898,30.4,215,0.836,1.992,69.8,6.08,178.69
81.2,2.55,68,14.2,112.41,35.2,0.161,391.1,183,1.79,99.662,2.48,1280,20,1034,0.817,0.757,66.2,2.3,42.94
76.5,1.26,55.8,25.6,140.95,31.9,0.125,384.9,367,0.73,102.957,2.33,1118,30.6,1525,0.896,0.585,76.6,2.56,78.95
70.1,2.51,100,32.83,172.82,32.5,0.312,214.9,162,1.97,100.451,1.61,487,22.4,678,0.817,1.781,68,9.2,51.36
35.6,1.05,38,30.18,71.82,50.6,0.217,139.1,240,1.38,98.628,1.61,5860,25.5,776,0.891,0.464,68.7,8.2,13.91
39.9,1.07,56.5,18.07,61.46,40.4,0.379,261.9,236,1.64,98.735,2.47,2480,33.3,1978,0.912,0.537,72.9,3.54,28.23
82.9,1.68,34.2,43.81,193.57,42.2,0.294,128.2,368,0.66,101.723,2.22,7495,29,421,0.735,1.991,59.2,7.02,70.88
66.4,2.05,83,37.29,56.44,49.6,0.119,386,138,1.81,99.365,2.97,6735,27.7,205,0.844,1.008,68.2,8.17,42.36
29.9,2.57,93.5,43.16,115.59,33.4,0.387,156.4,236,1.77,99.887,2.59,3218,28.8,687,0.891,1.296,71.7,9,42.32
35.9,2.46,50.2,43.8,137.52,45.4,0.174,176.6,356,1.45,101.22,1.51,1776,32.4,1494,0.913,1.588,79.1,5.56,96.79
69.4,1.9,90.8,38.07,126.44,36.2,0.196,212.7,181,1.24,101.841,2.22,1000,19.5,1296,0.928,1.962,75.4,9.08,72.83
30.2,1.54,51,28.08,56.06,46.5,0.212,213.1,172,1.6,98.846,2.23,7532,26.7,840,0.81,0.643,66.6,5.97,20.18
39,2.97,92.1,35.63,48.47,30.3,0.116,347,97,0.51,97.248,1.69,4543,22.9,1893,0.922,1.264,75.6,7.44,39.53
60.8,1.85,82.9,15.96,56.3,49.8,0.248,233.2,337,1.47,97.976,2.83,3221,15.1,1441,0.924,1.129,77.7,9.78,85.54
73.3,1.9,86.9,37.46,129.94,30,0.14,147,228,1.76,102.745,2.73,8707,17.3,125,0.851,1.029,69.1,3.91,31.13
70.5,1.31,32,17.39,129.82,33.6,0.217,176.5,229,1.01,100.125,1.87,5954,20.8,1483,0.842,1.091,66.4,3.22,36.76
44.2,2.56,97.6,37.37,77.54,44.8,0.203,259.1,148,0.66,97.468,1.85,5304,25.8,49,0.872,0.911,72.1,4.65,29.68
73.3,2.42,81.6,18.9,139.49,34.9,0.345,145.7,379,1.12,98.112,1.54,7714,32.7,1314,0.841,0.864,67,3.38,39.56
44.4,1.43,50.4,15.05,169.98,39.9,0.327,291.9,83,1.54,102.327,1.9,8110,31.7,412,0.731,0.491,61.3,4.36,8.43
48.8,1.13,88.2,16.97,47.11,35.3,0.15,273.8,119,0.67,100.168,2.39,6821,26.9,1360,0.84,0.35,68.9,7.95,9.54
73.9,2.28,50.6,10.17,117.72,43.1,0.207,309.4,220,0.83,96.647,2.06,4357,17.1,624,0.735,0.354,61.1,5.83,19.07
71,2.21,89.8,38.35,151.32,30,0.225,395.7,321,0.73,97.765,2.91,3794,20.8,1734,0.821,1.611,69.2,4.89,166.55
83.7,1.5,37.6,40.15,81.82,26.9,0.148,369.6,108,1.71,102.294,1.54,7925,22.3,689,0.717,1.972,54.5,4.91,55.21
69.2,2.83,77.7,30.09,88.47,32.3,0.335,378,230,0.59,98.845,2.4,5069,27.8,1248,0.791,1.686,64.9,3.61,116.16
64.1,1.28,66,16.92,133.04,37.2,0.303,174.5,68,1.54,104.142,2.77,6851,16.2,576,0.789,0.693,62.9,5.44,6.29
36.1,1.88,36.1,13.78,182.68,29.9,0.158,140.8,275,1.05,103.821,2.24,8946,26,1789,0.851,0.566,67.2,7.02,17.44
52.2,2.81,47.5,11.02,167.88,34,0.202,194.1,144,1.61,102.962,1.45,9152,32.9,1547,0.88,0.706,68.5,3.15,15.96
46.1,1.81,30.7,16.74,129.98,35.8,0.134,366.5,346,2.01,100.956,1.84,2788,29.3,486,0.909,0.764,74.2,9.79,89.29
44.6,2.19,61.7,43.31,158.68,26.2,0.28,403.1,130,0.69,102.019,2.02,1805,30.5,1826,0.8,1.593,65.2,5.53,65.87
86.7,1.77,53.3,19.59,99.6,39.9,0.134,353.6,224,0.98,99.879,2.88,2693,29.2,723,0.729,0.694,58.8,9.55,40.68
53.2,1.57,70.9,25.02,143.18,47.3,0.374,130.3,271,1.7,99.894,2.93,7545,18.8,1326,0.767,0.729,65.8,3.11,21.31
83.3,2.97,51.4,14.48,113.6,28.4,0.335,369.7,152,0.91,97.555,2.91,3882,17,1470,0.769,0.713,61.5,8.17,31.51
64.4,1.82,51.3,19.06,70.58,39.7,0.218,226.2,103,0.82,99.882,2.69,1748,31.4,47,0.816,0.569,61,7.01,10.52
77.8,2.79,82.4,30.35,150.3,42.8,0.274,104.6,232,1.73,97.421,2,976,28.4,1965,0.913,1.06,71.3,8.5,22.38
63,1.42,32.1,35.01,130.8,35.2,0.361,236.3,367,1.98,100.007,2.87,3290,26.8,696,0.803,1.967,63.3,6.76,136.95
64.1,1.41,95.6,19.19,96.53,41.1,0.274,114.7,398,1.35,97.552,3.1,1402,18.8,379,0.869,1.163,71.6,9.81,46.93
59.6,1.07,90.2,12.27,184.88,35,0.152,260.9,370,0.91,98.241,2.14,1541,26.5,1735,0.883,0.215,73.1,6.89,20.48
41,2.35,78.2,26.53,43.2,37,0.211,206.8,117,1.09,94.886,1.84,6919,15.5,1364,0.958,0.714,78.2,8.09,16.03
71.7,1.75,73.2,19.06,96.44,25.4,0.359,242.7,77,0.78,98.411,2.35,199,17.4,174,0.894,0.605,74.4,9.43,10.24
46.6,2.78,95.6,19.01,48.1,42.8,0.291,286.5,323,1.59,98.528,1.84,1189,21.3,230,0.872,0.709,70.2,7.78,55.88
31.9,1.9,42.1,46.69,161.11,41.8,0.298,352.5,331,1.69,99.371,1.51,8290,23.4,1411,0.842,1.134,67.5,6.16,115.58
68.4,2.85,35,34.2,147.46,25.7,0.354,287.7,360,1.81,102.352,2.88,8557,17.4,151,0.712,1.941,58.2,4.12,150.49
40.3,1.32,46.2,32.39,93.49,34.2,0.374,234.4,168,0.53,99.86,2.91,3329,17.6,1805,0.935,0.592,73.9,8.67,20.66
87.3,2.78,84.1,26.82,153.23,49.2,0.382,363.6,183,1.33,101.841,1.75,907,29.3,1438,0.993,1.327,77,5.84,80.21
87.6,2.48,33.3,28.28,102.88,34.5,0.127,375.3,178,0.82,101.926,2.05,7300,25.9,701,0.707,1.113,58.6,6.95,49.2
85.4,2.6,69.4,31.32,158.93,37.5,0.264,138.4,57,1.03,102.809,2.79,3628,26.4,717,0.831,2.024,65.4,2.66,12.25
53.5,2.67,98.9,38.31,112.53,50.3,0.322,264.2,100,1.68,98.186,2.51,457,24.4,996,0.924,1.948,73.9,5.82,49
31.6,2.61,87,38.52,108.16,42,0.326,185.8,390,0.78,97.625,2.13,1548,34.2,739,0.932,1.807,75.7,7.39,116.88
88.3,2.23,67.5,16.67,194.79,38.1,0.275,110.7,330,1.48,99.755,2.64,1367,16,1548,0.891,0.977,72.6,6.71,31.7
54.3,1.25,34.4,30.58,78.46,46.2,0.147,305.3,224,1.48,97.908,2.88,5837,18.5,1900,0.704,0.738,58.2,5.63,35.19
89.5,1.07,89.8,26.83,60.05,47,0.337,370.2,232,1.95,99.491,2.89,9156,27.4,1148,0.771,0.874,61.5,3.86,53.5
90.7,2.82,72.9,44.58,133.26,36.6,0.316,150.6,241,1.67,98.069,2.12,7979,18,884,0.856,1.975,72.7,4.63,61.38
78.5,2.25,36.8,35.39,200.72,36.6,0.124,342.7,298,1.67,97.548,1.71,5358,27.7,436,0.796,1.994,64.9,7.56,166.79
47.6,2.54,36.7,30.7,105.07,34.8,0.239,359.6,284,1.31,100.69,2.81,4150,26.8,1285,0.775,1.09,59.2,3.84,92.73
52.5,1.97,91.6,14.36,51.74,49.2,0.145,374.4,132,0.75,103.687,1.67,6503,34.6,1359,0.783,0.515,63.2,6.83,20.3
81,1.22,77.1,34.21,92.43,43.5,0.201,184.6,142,1.14,99.465,2.57,4400,32.5,1397,0.77,1.683,64,6.37,34
50.1,1.25,87,14.91,118.91,27.6,0.106,373.4,361,1.3,100.521,1.68,2494,32.1,56,0.916,0.357,76.7,9.57,45.23
39,2.31,94.9,23.33,68.14,47.1,0.224,199.4,317,1.46,100.108,2.12,6795,17.8,1838,0.774,1.051,64.9,2.46,50.03
63.7,1.89,73.8,15.52,144.99,36.5,0.273,272.2,169,1.42,99.922,2.15,8689,31.9,673,0.759,0.645,63.7,2.99,23.1
85.2,1.39,65.9,37.51,196.57,26.8,0.29,117,120,1.11,102.853,1.67,3816,17.9,1446,0.757,1.032,65.5,5.85,10.94
73.5,2.02,60.2,18.55,109.22,38.3,0.31,113.5,66,0.9,99.434,2.92,8339,28.2,1541,0.82,0.865,65.5,6.31,5.48
64.7,1.11,49.8,24.98,97.03,36.3,0.351,307.2,302,0.77,93.514,1.49,4285,29.9,1274,0.747,1.324,60.7,2.29,100.77
35.7,2.16,58.4,46.62,103.25,46.3,0.165,235.9,171,1.54,98.219,2.87,4124,17.7,784,0.846,1.314,68.1,8.69,45.86
65.9,1.57,84.8,18.36,58.88,30,0.138,180.5,59,1.47,100.182,2.82,281,28.2,1256,0.809,0.661,67.2,5.96,5.75
94.2,2.53,72.1,29.49,182.01,44.7,0.355,152.4,336,1.51,99.755,2,6757,15.9,83,0.817,1.214,66.4,4.69,51.69
38.6,1.59,93.3,26.64,103.79,38.6,0.146,304.1,365,1.07,99.521,2.56,7893,20.8,1529,0.89,1,74,4.64,98.25
59.4,1.94,60.1,10.86,100.3,26.1,0.403,100.3,375,0.9,98.936,1.83,6704,33.3,204,0.827,0.701,67.5,8.97,21.73
81.3,1.05,72.9,40.12,148.3,49.1,0.358,327,322,1.63,100.15,2.55,1492,18.2,812,0.849,1.53,69.8,3.57,140.49
75.1,1.15,70.4,12.5,113.01,37.1,0.254,124.8,355,1.62,104.092,2.28,1056,16.2,210,0.887,0.376,72.4,3.3,14.04
70.8,1.75,70.5,28.09,142.65,33.1,0.388,162.1,342,1.15,99.319,1.91,5731,23.9,1665,0.806,1.94,66.7,3.67,92.35
71.3,1.95,79.9,32.05,50.01,36.6,0.132,216.4,259,1.45,104.323,2.12,4076,31.4,1088,0.867,1.969,68.2,6.73,96.38
52.6,2.29,48.2,35.87,166.65,46,0.191,235.8,267,1.04,100.923,2.58,4321,16,1383,0.759,1.722,63.5,8.51,87.63
48.5,1.54,65.7,38.14,190.28,33.1,0.286,208.4,290,1.6,98.621,2.84,9883,22.5,1330,0.885,1.12,71.5,4.85,60.74
77.7,2.42,37.7,19.93,146.98,31.1,0.208,200.9,249,1.73,101.707,1.67,7512,33.2,1667,0.864,0.904,67.1,3.44,36.69
80.4,2.73,56.2,10.61,199.16,28,0.369,383.3,265,1.52,95.115,2.36,4164,16.7,268,0.768,0.807,60.8,3.7,64.37
80.9,2.5,64.7,39.45,64.07,32.3,0.114,291.7,254,1.34,99.935,1.81,193,21.4,1303,0.864,1.929,69.6,7.01,127.33
87.7,1.07,74.9,32.23,115.66,43.8,0.255,106.5,265,1.18,100.99,2.74,349,30.5,1186,0.85,1.37,69.4,3.97,33.92
61.3,1.89,100.3,43.37,132.37,37.3,0.276,229.9,129,1.44,101.041,1.6,6771,25.2,62,0.847,1.185,69,8.61,29.7
60.4,1.22,71.6,43.32,131.48,31.3,0.305,360.3,316,1.51,101.271,2.54,8468,31.3,409,0.809,1.597,64.3,2.77,145.85
77.3,1.5,81.8,46.68,104.09,29.1,0.178,195.8,84,1.3,101.423,1.74,6947,17.4,533,0.882,2.05,71.1,2.26,28.58
68.2,2.89,66.5,29.22,93.77,33,0.209,131.9,338,1.43,100.589,2.36,3997,32.7,147,0.84,1.972,66.3,2.76,76.12
68.8,1.3,75.1,23.31,59.61,49,0.362,324,67,0.65,101.437,2.66,308,33,693,0.79,0.612,63.2,9.09,10.54
77.3,1.97,34.7,41.53,105.12,34.1,0.16,289.8,214,1.97,98.838,2.68,9919,17.9,55,0.715,1.976,60.5,7.05,86.54
83.4,2.2,48.2,28,66.57,51.2,0.355,262.5,62,1.7,102.337,2.56,9836,15.4,1118,0.843,1.872,70.6,9.79,25.8
48.4,2.36,54.2,17.53,156.98,36.7,0.274,114.4,251,1.06,99.051,2.24,5408,34,434,0.817,1.142,63.1,4.48,26.86
53.4,2.15,63.4,44.25,74.42,30,0.327,144.1,278,1.4,102.275,2.78,717,24.1,551,0.935,2.063,75,3.68,72.81
35.5,0.99,33.6,44.07,49.34,47.4,0.313,287.7,395,0.58,99.943,2.42,5232,26.7,1796,0.891,1.645,73,6.49,172.09
66.3,1.6,39.5,28.66,132.36,35.2,0.16,163,50,0.58,100.423,2.84,8589,26.8,970,0.688,1.929,55.1,6.52,10.84
31.7,2.01,49,12.89,133.09,44,0.275,253.5,368,0.89,101.722,2.36,6765,31.5,529,0.94,0.327,71.6,6.62,27.88
59.4,1.16,96.8,24.63,180.68,49.9,0.351,261.3,266,1.58,103.008,2.29,7161,32.6,1194,0.722,1.108,60,4.75,55.81
62,1.72,51.7,43.11,126.69,26.6,0.226,190,83,1.82,100.068,1.8,867,18.8,408,0.867,1.931,72,2.09,26.09
47.1,1.06,64.3,45.58,94.53,27.9,0.389,390.4,315,1.36,100.428,2.31,1091,20.5,155,0.842,0.987,68.3,2.25,98.35
65.7,1.16,43.3,18.28,168.99,43.5,0.236,352.5,177,1.31,94.801,1.65,1271,32.9,43,0.83,0.477,66.9,7.23,23.94
31.8,1.74,73.6,11.88,125.63,31.4,0.145,323,261,1.14,98.257,2.83,9006,31.5,1884,0.855,0.229,70.3,6.01,17.54
32.4,1.26,49.5,45.54,51.52,30,0.217,124.7,312,0.73,96.947,2.48,5177,27.3,1470,0.792,1.59,66.9,8.67,48.82
76.3,2.03,45,25.42,128.72,26.2,0.383,131.4,361,0.67,99.142,2.93,7898,33.5,1639,0.687,1.23,56.2,4.28,41.01
51.5,2.39,63.9,30.69,181.55,24.7,0.199,246.8,129,1.59,98.652,1.63,1094,29.4,1958,0.827,1.974,66.1,8.7,53.46
37.6,2.64,29.7,48.18,103.16,45.8,0.367,145,214,1.91,98.402,1.84,9193,18.9,1861,0.754,2.001,63.2,5.27,48.04
58.9,1.38,30,12.49,88.78,28.1,0.352,389.3,301,1.22,97.913,2.83,8198,32.5,1467,0.656,0.607,56.9,2.73,48.54
77.2,1.34,46.4,36.47,62.52,37.4,0.209,147.2,61,1.46,101.024,2.17,2212,24.1,1401,0.876,1.257,72.4,9.59,10.18
42.2,1.2,32.8,12.99,66.56,39.9,0.124,247,353,1.84,96.373,2.26,8629,15.8,679,0.871,0.369,69.7,6.06,28.56
68.6,2.33,37.4,24.26,109.74,35.3,0.328,205.7,261,0.65,97.799,2.72,2619,21.5,209,0.95,1.214,76.2,7.19,62.67
35.2,2.42,53.2,42.52,129.76,25.6,0.191,292.5,331,1.68,100.037,2.35,2053,30.9,1187,0.833,1.156,69.1,7.26,100.64
32.7,1.04,87.2,26.21,53.25,46.5,0.328,137.4,161,1.44,101.916,1.79,2688,34.3,1176,0.826,0.948,69.7,4.8,17.53
63.1,2.94,69.2,48.76,190.14,26.3,0.236,226.2,260,1.41,98.111,2.69,9177,21,1843,0.781,1.967,62.9,7.98,95.02
64.5,1.12,66.9,32.37,165.25,43.6,0.256,184.6,288,0.93,102.098,1.54,9317,20.9,853,0.721,0.64,59.5,8.95,23.59
68.3,2.07,50.3,22.56,133.81,48.5,0.323,368.1,317,1.48,94.517,2.75,3328,27,1393,0.805,1.531,63.8,5.17,145.35
75.6,2.44,97.7,19.25,171.68,35.8,0.218,112,347,1.71,99.991,1.56,7071,30.8,1148,0.85,0.663,69.1,7.07,21.94
88.2,2.77,56.7,24.1,55.02,39.9,0.236,378.5,366,0.7,100.608,2.59,7059,30.4,341,0.887,1.542,71.3,8.1,170.45
62.2,2.41,36,25.21,111.4,37.8,0.213,341.4,107,1.31,98.003,1.57,7950,25.8,1139,0.71,1.417,58.8,3.61,36.35
49,2.61,71.8,12.92,139.85,34.9,0.219,185,83,0.64,97.332,2.49,2911,27.5,1075,0.971,0.311,78.4,4.57,4.54
80.5,1.69,39.2,24.56,173.5,47.3,0.248,334.6,312,1.8,100.205,1.55,5086,20.5,993,0.77,1.408,62.3,2.88,118.1
47.2,2.59,54.2,27.96,164.03,47.9,0.35,109.1,84,1.29,99.913,2.72,6669,23.2,1033,0.852,1.543,71.4,6.68,12.36
56.9,1.19,64.2,38.87,80.79,33.7,0.213,396,320,1.75,98.341,2.19,263,19.9,324,0.96,1.59,76.8,8.59,180.08
32.9,2.68,89.6,36.9,192.08,39.5,0.263,254.7,276,1.08,99.401,1.64,3695,33.4,917,0.873,1.007,72.1,7.12,60.52
31.8,2.12,65.2,38.17,59.35,48.4,0.308,188.7,74,0.7,98.757,2.48,7231,17,1199,0.923,1.044,72.5,3.36,13.22
85.6,2.57,76.3,10.46,179.53,48.4,0.182,213.3,283,0.54,102.464,2.24,2509,27.5,989,0.801,0.536,62.4,6.41,24.97
80.7,1.9,99.1,18.7,200.27,37.3,0.182,117.3,108,0.93,101.334,1.76,9392,19.6,947,0.784,1.54,62.8,8.74,15.63
73.6,2.21,38.5,35.33,68.76,37.1,0.375,404.9,300,0.84,100.385,1.56,303,24.2,155,0.815,1.178,67.1,4.43,116.06
55.3,2,49.1,28.5,153.6,32.1,0.321,111.8,384,1.36,103.754,2.09,9791,21,389,0.76,1.216,61.1,8.62,38.16
41.1,2.46,57.7,10.53,46.81,48.5,0.273,291.9,135,0.54,102.065,1.61,2237,21.3,637,0.851,0.588,70.2,8.18,19.5
39.1,1.16,59.4,41.19,103.98,27.9,0.293,227.7,300,1.26,102.485,1.61,465,20,841,0.809,1.562,66.1,2.11,89.4
43.6,1.14,58.5,40.39,121.86,38.9,0.108,383.2,229,1.08,103.121,1.89,2970,30.1,1198,0.897,1.612,74.7,3.9,137.89
62,1.48,93.8,32.52,134.92,32,0.283,176.1,256,1.35,99.653,2.38,8139,22.1,1704,0.912,1.988,72.7,6.45,78.69
72.4,1.34,82.8,12.36,187.31,33.1,0.257,259.6,393,1.58,97.552,2.32,7435,29.1,318,0.896,0.479,73.3,7.91,46.9
69.6,2.74,74.4,40.1,149.22,34.4,0.264,249.2,198,1.45,96.425,1.59,2079,24.2,29,0.821,2.029,63.2,9.08,77.87
48,1.46,51.3,33.21,116.47,50.3,0.213,316.4,120,1.95,101.453,3,1931,26,907,0.785,0.615,62,6.99,17.56
88.6,2.89,88.9,41,167.83,26.6,0.121,122.3,170,0.72,98.066,2.83,6354,26.4,867,0.886,1.99,70.8,4.91,35.18
77.6,1.68,98.2,39.29,190.15,40.4,0.16,160.8,302,1.16,106.601,1.95,4483,35.9,1130,0.768,2.05,64,3.43,72.64
62,1.37,86.8,41.96,43,27.1,0.377,162.6,142,1.16,98.281,1.67,8071,21.4,1696,0.862,1.129,73.6,7.77,23.49
68.3,2.55,30.1,31.14,197.56,29.1,0.228,326.5,305,1.09,97.951,2.89,241,19.4,1643,0.955,1.993,76.9,3.47,177.84
56.1,2.34,75.3,15.57,53.49,36.8,0.246,163.4,303,1.48,101.528,2.22,5737,33.3,205,0.834,0.404,67.9,7.36,15.35
44.8,2.02,33.1,36.36,174.97,37.2,0.113,277.4,337,1.25,101.552,1.89,7219,19,1841,0.878,1.071,71.8,3.47,90.99
50.4,2.09,47.8,35.48,83.35,32,0.11,163.3,358,1.23,103.561,2.21,9797,31.4,223,0.785,1.857,66.9,2.64,87.15
74.5,2.48,34,41.04,61.81,32,0.311,354.3,108,1.11,99.452,2.65,6904,17.9,1286,0.757,1.84,61.2,4.04,54.15
30.5,1.39,71.9,17.12,112.9,27.2,0.268,383.5,118,1.96,102.301,1.78,2315,27.4,1328,0.849,0.574,70.4,4.21,23.12
38.2,2.88,77.6,17.4,147.98,32.4,0.25,259.5,135,1.92,99.669,2.7,1080,18.4,1393,0.929,1.178,76.5,7.35,37.15
33.3,2.89,38.4,44.62,99.31,48.5,0.175,206.4,323,0.96,101.085,2.68,6492,33.6,530,0.803,1.993,65.6,3.25,113.5
33,2.31,56.9,40.35,49.73,49.6,0.319,166.4,276,0.67,99.557,2.3,5343,26.9,669,0.853,1.245,71.1,9.36,51.12
81.5,1.38,62.7,46.49,136.47,34.1,0.154,116.7,130,1.73,103.8,2.76,9040,21.4,1122,0.876,2.006,69.2,6.34,25.93
71.9,2.3,58.6,39.36,188.26,40.1,0.161,183.9,163,1.96,104.509,1.7,7171,17.6,403,0.76,1.255,61.6,5.84,29.34
58.8,1.14,38.1,34.08,100.01,48.1,0.246,291.1,233,0.97,97.578,2.38,4944,22.7,42,0.869,1.504,71.3,5.49,86.63
35.9,1.06,59.6,36.24,74.44,24.5,0.185,265.1,329,1.05,102.52,2.1,4153,28.9,1179,0.937,0.477,76.6,6.57,40.76
59.4,1.5,83.4,46.91,110.01,45,0.174,384.1,371,1.87,98.1,2.14,4318,23,931,0.913,1.24,69.2,2.18,150.16
58.8,1.88,35.7,32.86,47.31,49.7,0.293,221,367,1.5,102.314,1.84,2269,20.1,1339,0.765,1.947,63.6,9.67,123.57
39.5,2.74,35.9,36.27,171.42,27.8,0.295,311.3,103,0.92,103.275,2.05,174,26.6,307,0.96,1.357,78.7,6.51,41.72
56.3,2.49,53.6,16.72,180.81,29.7,0.344,248.2,246,1.34,98.053,1.65,5922,23.1,1661,0.983,1.087,76.4,2.23,60.67
53.8,2.43,94.7,28.57,135.87,49.3,0.23,251.7,342,1.87,97.542,1.96,2051,18.4,276,0.963,1.249,76.1,6.57,102.37
66,1.91,77,38.93,95.82,38.3,0.12,182.1,342,1.72,98.966,1.94,2123,17.8,1817,0.917,1.951,77.1,5.43,110.72
69,1.67,76.4,20.75,166.98,24.4,0.182,236.7,340,1.63,102.315,2.61,1263,29.2,892,0.893,1.405,70.5,2.23,99.88
33.9,1.72,53.7,18,130.2,32,0.396,242.8,229,1.6,100.936,1.6,1867,35.7,1073,0.976,0.551,76.9,9.18,27.84
53.8,2.98,70.4,22.66,171.51,36.2,0.282,310.3,271,0.76,99.476,2.46,315,20.1,1768,0.857,1.268,65.6,2.1,95
67.2,1.08,30.2,19.35,140.52,41.3,0.305,385.2,323,1.75,101.403,1.79,6565,30.2,581,0.707,0.819,57.6,6.28,72.38
61,2.61,73,18,161.83,44,0.102,198.8,293,0.91,99.409,1.55,4104,16.8,376,0.833,1.453,69.5,9.79,72.14
82.8,2.15,98.7,26.71,135.64,51.3,0.256,110.4,203,1.83,100.25,1.97,5498,22.4,917,0.836,1.211,71.6,3.98,23.33
69.7,1.9,73.3,47.41,100.9,32.7,0.113,251.6,353,1.05,101.084,1.86,6422,25.3,486,0.853,2.023,71.7,4.08,148.76
39.8,2.5,91.4,30.16,186.44,39,0.27,269,322,1.8,100.945,2.29,9409,20,1053,0.851,1.035,68,2,73.15
34.5,1.97,82.2,17.51,125.69,39,0.375,151.8,184,0.92,103.379,2.01,702,25.3,553,0.961,0.44,76.4,2.5,11.13
72,2.73,39.8,13.29,138.62,33.2,0.392,327,362,1.3,97.556,2.9,4162,33.9,1787,0.927,0.444,73.6,2.31,49.35
31.8,2.84,93.9,36.64,77.7,30.2,0.268,398.7,57,0.65,101.847,2.9,2512,34,1189,0.885,1.733,70.6,8.44,34.02
63.5,1.91,35.4,25.53,141.23,48.7,0.228,378.7,177,1.48,98.087,2.14,4747,16.9,0,0.826,1.663,66.8,8.59,95.12
84.6,1.56,66.7,44.31,132.86,45.7,0.384,161.7,105,1.76,99.147,2.71,9093,19.6,1651,0.829,1.88,68.4,7.96,26.68
64.3,2.18,39.2,36.45,69.73,37.1,0.309,369.1,175,1.58,99.657,1.55,7046,34.7,656,0.849,1.99,66.8,4.81,102.54
52,2.9,31.4,40.24,50.36,39.8,0.117,311.2,208,1.32,99.134,2.32,6759,21.3,630,0.887,2.007,67.9,8.7,113.03
68.4,1.39,60.6,20.85,137.28,31.6,0.236,236.8,108,0.57,97.289,2.68,4380,28.5,769,0.777,0.806,60.8,6.7,16.29
60.1,2.25,51.5,38.15,163.4,39,0.176,256.9,107,1.88,99.062,1.91,6751,19.9,1216,0.9,1.995,68.5,4.58,50.94
62.1,2.37,64.2,20.61,119.87,41.8,0.239,359.1,189,1.6,100.539,1.6,319,22.1,891,0.809,0.904,65.4,5.5,49.63
84.6,2.49,69.3,47.82,76.68,37.5,0.235,243,225,1.66,99.683,1.73,5860,18.6,1251,0.839,1.918,66.6,2.5,88.88
52.9,1.28,32.7,35.73,146.71,52.2,0.276,201.3,157,1.72,102.911,2.06,5561,33.5,297,0.732,0.79,61.2,9.72,19.46
87.5,2.42,39.5,22.55,52.38,40.6,0.195,248.6,260,1.57,99.77,2.29,3345,33.3,1913,0.834,1.958,67.5,7.07,106.7
82.7,2.85,68.3,20.44,109.94,34,0.144,273.2,123,1.16,100.017,2.07,1988,21.2,1472,0.771,1.951,63.1,7.93,52.2
40.7,1.39,54.2,17.51,64.37,42.9,0.254,153.6,216,1.59,100.335,2.16,8330,32.8,503,0.862,0.446,70.4,7.63,12.85
35.1,1.43,79.8,38.08,70.26,28.3,0.347,377.6,353,1.45,99.685,2.2,530,22.9,1414,0.891,0.735,73.1,7.2,85.66
36.4,2.94,75.4,18.3,72.71,33.8,0.298,299.8,282,1.75,100.936,2.63,709,17,1128,0.926,0.797,79.5,2.15,65.53
30.8,1.37,87.3,35.2,102.01,33.7,0.199,285.9,376,1.73,98.917,1.62,4434,30,224,0.884,1.08,70.7,6.2,104.23
34.8,2.71,78.4,19.59,48.41,36.6,0.379,132.8,231,0.57,97.624,2.7,2551,26.8,363,0.927,0.949,73.6,8.69,26.31
70.2,1.97,59.5,35.23,101.06,45.1,0.383,283.6,171,1.09,99.839,2.4,7549,20.3,80,0.791,2.03,64.8,2.33,75.35
33.4,1.54,74.5,43.07,126.17,38,0.163,133.7,383,0.54,100.734,2.64,6344,20,1604,0.863,1.74,69.8,9.72,78.29
